id,year,field,author
W1971798367,2007,Computer Science,Darci Levis; Jorge Luís Victória Barbosa; Sérgio Crespo Coelho da Silva Pinto; Débora Nice Ferrari Barbosa
W1918734335,1991,Arts and Humanities,Mizuko Yoshiyuki
W907274521,2013,Arts and Humanities,Zunfeng Fu; Xuchu Zhang; Fan Yang; Jianhua Zhang; Rongfu Wang
W1449503884,1984,Arts and Humanities,V. M. Fridkin; A. L. Shlensky; K. A. Verchovskaya; V. D. Bilke; N. Markiewitz; Heiko Pietsch; M. Siidow
W1560341315,2014,Earth and Planetary Sciences,محسن الهی; مسلم اکبری نیا; ابراهیم محمدی گل تپه
W1833239046,2017,Mathematics,Zuriah Sitorus
W428588099,1979,Environmental Science,"Ryan, Edna Elizabeth"
W86895527,1997,Arts and Humanities,Charles Coutel
W85191050,1997,Arts and Humanities,Michael Pidd; Estelle Stubbs
W55304911,1998,Arts and Humanities,E Aujaleu
W564211269,1990,Arts and Humanities,"Stegemann, Ekkehard"
W95735521,2008,Arts and Humanities,"Whitman, Christine Todd; Del Gaudio, Justine"
W322293988,2001,Arts and Humanities,Kimberly Anne Lyons-Mitchell; Mary J. Ferrill
W184619938,2003,Arts and Humanities,Marielle Seichepine
W111837787,2003,Arts and Humanities,Sébastien Prat
W42341823,2014,Medicine,Kathy Hall; Sheila Grundy
W389308598,2013,Arts and Humanities,Trisha R. Berger
W264242354,2004,Engineering,David Byer
W156202418,1978,Arts and Humanities,Michael Firth
W10567496,2013,Social Sciences,Agung Cipto Harjono; Sarwi Sarwi; Sulhadi Sulhadi
W1860684,2002,Arts and Humanities,Anabela Mesquita
W2290897430,1988,Psychology,Shao‐Tuan Chen
W2404108871,2014,Arts and Humanities,"Maurel, Chloé"
W2280267681,1976,Medicine,Khomasuridze Ag
W2255221633,2013,Arts and Humanities,江雅惠
W2404751927,2010,Computer Science,Hyunjoo Oh
W2338400371,2015,Arts and Humanities,谭晓晓; 彭晓
W2233795238,1999,Arts and Humanities,Edward Duyker
W2240790620,2005,Social Sciences,Tatjana Bulajeva; Vilija Targamadzė
W2297808558,1982,Immunology and Microbiology,Shahani Sk; Tezabwala Bu
W2273732848,1985,Health Professions,de Villiers Vp
W2236193647,2007,Arts and Humanities,"Wolgemuth, Jennifer R.; Cobb, R. Brian; Bubar, Roe; Harbour, Clifford; Pamphilon, Barbara"
W2337273831,2013,Computer Science,Svetlana N. Plotnikova; Евгения Федоровна Серебренникова
W2290399908,1993,Medicine,Steen Tw; Mosinki Kt
W2286145135,1983,"Economics, Econometrics and Finance",Ro Kk; Cho Nh; Park Dk
W2187261135,2003,Arts and Humanities,Ian Fleck; Prashant Chouta
